Region,Country,Retailer,Account ID,Advisor ID,Schema
APAC,Australia,Amazon,3064,,tiger_3064_c9bbc3b96846e6b499ad6a023e9fa6fc
,,Takealot.com,3807,,tiger_3807_5cb73b4351392bbd446f7b12a24cb7ac
,,MMS E-Commerce GmbH,2640,,tiger_2640_6243912c70ba051b1c035c2ce6dee60f
